depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3	datetime
0.0	15	2	9415	31.25	42.5	53.75	20210307072700
0.0	15	3	2499	34.0	48.0	62.0	20210307072700
0.0	15	4	1365	38.0	53.0	68.0	20210307072700
0.0	15	5	608	39.5	57.0	74.5	20210307072700
0.0	15	6	364	40.75	58.5	76.25	20210307072700
0.0	15	7	239	56.25	59.5	62.75	20210307072700
0.0	15	8	146	58.75	62.5	66.25	20210307072700
0.0	15	9	94	56.5	60.0	63.5	20210307072700
0.0	15	10	83	63.0	70.0	77.0	20210307072700
0.0	15	11	68	58.25	66.5	74.75	20210307072700
0.0	15	12	43	62.0	67.0	72.0	20210307072700
0.0	15	13	27	52.5	62.0	71.5	20210307072700
0.0	15	15	20	65.0	75.0	85.0	20210307072700
0.0	15	16	14	68.75	79.5	90.25	20210307072700
0.0	15	17	21	63.5	75.0	86.5	20210307072700
0.0	15	21	7	71.75	75.5	79.25	20210307072700
0.0	15	22	11	73.75	82.5	91.25	20210307072700
0.0	15	25	4	70.75	75.5	80.25	20210307072700
0.0	15	14	29	63.25	70.5	77.75	20210307072700
0.0	15	18	11	69.0	77.0	85.0	20210307072700
0.0	15	19	8	60.75	69.5	78.25	20210307072700
0.0	15	20	6	69.5	76.0	82.5	20210307072700
0.0	15	35	2	86.0	89.0	92.0	20210307072700
0.0	15	23	9	81.25	89.5	97.75	20210307072700
0.0	15	27	5	85.0	91.0	97.0	20210307072700
0.0	15	31	2	79.0	81.0	83.0	20210307072700
0.0	15	38	1	89.75	90.0	90.25	20210307072700
0.0	15	42	2	91.25	93.5	95.75	20210307072700
0.0	15	89	1	119.75	120.0	120.25	20210307072700
0.0	15	119	1	107.75	108.0	108.25	20210307072700
0.0	15	36	1	101.75	102.0	102.25	20210307072700
0.0	15	46	1	89.75	90.0	90.25	20210307072700
0.0	15	24	3	73.75	77.5	81.25	20210307072700
0.0	15	26	3	70.5	76.0	81.5	20210307072700
0.0	15	34	3	72.25	72.5	72.75	20210307072700
0.0	15	49	1	88.75	89.0	89.25	20210307072700
0.0	15	32	1	73.75	74.0	74.25	20210307072700
0.0	15	40	1	93.75	94.0	94.25	20210307072700
0.0	15	71	1	88.75	89.0	89.25	20210307072700
0.0	15	28	2	65.0	72.0	79.0	20210307072700
0.0	15	64	1	101.75	102.0	102.25	20210307072700
0.0	15	62	1	107.75	108.0	108.25	20210307072700
0.0	29	2	18965	31.0	42.0	53.0	20210307072800
0.0	29	3	5169	34.0	48.0	62.0	20210307072800
0.0	29	4	2712	37.0	53.0	69.0	20210307072800
0.0	29	5	1175	38.0	56.0	74.0	20210307072800
0.0	29	6	726	41.5	58.0	74.5	20210307072800
0.0	29	7	466	55.5	59.0	62.5	20210307072800
0.0	29	8	331	58.5	62.0	65.5	20210307072800
0.0	29	9	197	56.0	62.0	68.0	20210307072800
0.0	29	10	154	65.75	72.5	79.25	20210307072800
0.0	29	11	120	63.25	72.5	81.75	20210307072800
0.0	29	12	79	62.0	73.0	84.0	20210307072800
0.0	29	13	73	61.75	73.5	85.25	20210307072800
0.0	29	14	52	59.25	70.5	81.75	20210307072800
0.0	29	15	48	65.5	73.0	80.5	20210307072800
0.0	29	17	31	67.75	79.5	91.25	20210307072800
0.0	29	18	22	66.0	76.0	86.0	20210307072800
0.0	29	31	2	82.25	91.5	100.75	20210307072800
0.0	29	37	2	71.25	71.5	71.75	20210307072800
0.0	29	16	34	65.75	75.5	85.25	20210307072800
0.0	29	20	18	62.0	72.0	82.0	20210307072800
0.0	29	21	12	68.0	80.0	92.0	20210307072800
0.0	29	24	10	62.75	72.5	82.25	20210307072800
0.0	29	22	11	53.5	66.0	78.5	20210307072800
0.0	29	26	4	71.25	73.5	75.75	20210307072800
0.0	29	34	2	77.25	80.5	83.75	20210307072800
0.0	29	27	7	64.25	69.5	74.75	20210307072800
0.0	29	19	14	74.0	82.0	90.0	20210307072800
0.0	29	33	3	65.75	71.5	77.25	20210307072800
0.0	29	39	3	81.75	83.5	85.25	20210307072800
0.0	29	25	3	81.5	93.0	104.5	20210307072800
0.0	29	74	1	108.75	109.0	109.25	20210307072800
0.0	29	121	1	85.75	86.0	86.25	20210307072800
0.0	29	23	6	73.25	77.5	81.75	20210307072800
0.0	29	28	7	79.5	87.0	94.5	20210307072800
0.0	29	41	2	87.75	89.5	91.25	20210307072800
0.0	29	30	2	79.75	80.5	81.25	20210307072800
0.0	29	35	1	90.75	91.0	91.25	20210307072800
0.0	29	38	2	94.5	96.0	97.5	20210307072800
0.0	29	36	1	85.75	86.0	86.25	20210307072800
0.0	29	57	1	46.75	47.0	47.25	20210307072800
0.0	29	84	1	99.75	100.0	100.25	20210307072800
0.0	29	154	1	83.75	84.0	84.25	20210307072800
0.0	29	32	2	75.5	76.0	76.5	20210307072800
0.0	29	29	3	80.25	84.5	88.75	20210307072800
0.0	29	54	1	83.75	84.0	84.25	20210307072800
0.0	29	40	1	70.75	71.0	71.25	20210307072800
0.0	29	64	1	100.75	101.0	101.25	20210307072800
0.0	29	115	1	137.75	138.0	138.25	20210307072800
0.0	29	49	1	87.75	88.0	88.25	20210307072800
0.0	29	514	1	104.75	105.0	105.25	20210307072800
0.0	28	2	17563	30.5	42.0	53.5	20210307072900
0.0	28	3	4652	33.5	47.0	60.5	20210307072900
0.0	28	4	2685	37.5	53.0	68.5	20210307072900
0.0	28	5	1188	39.25	56.5	73.75	20210307072900
0.0	28	6	690	38.25	55.5	72.75	20210307072900
0.0	28	7	451	57.5	61.0	64.5	20210307072900
0.0	28	8	271	57.5	63.0	68.5	20210307072900
0.0	28	9	195	57.75	65.5	73.25	20210307072900
0.0	28	10	147	57.75	64.5	71.25	20210307072900
0.0	28	11	108	61.25	68.5	75.75	20210307072900
0.0	28	12	71	59.25	70.5	81.75	20210307072900
0.0	28	13	67	61.5	72.0	82.5	20210307072900
0.0	28	14	37	69.0	77.0	85.0	20210307072900
0.0	28	15	46	62.25	71.5	80.75	20210307072900
0.0	28	17	29	62.75	74.5	86.25	20210307072900
0.0	28	18	27	70.5	81.0	91.5	20210307072900
0.0	28	19	19	69.75	78.5	87.25	20210307072900
0.0	28	25	7	74.5	79.0	83.5	20210307072900
0.0	28	29	5	92.75	97.5	102.25	20210307072900
0.0	28	16	36	58.0	67.0	76.0	20210307072900
0.0	28	20	23	72.5	83.0	93.5	20210307072900
0.0	28	26	4	73.75	82.5	91.25	20210307072900
0.0	28	27	5	52.25	68.5	84.75	20210307072900
0.0	28	21	12	74.75	85.5	96.25	20210307072900
0.0	28	24	12	58.25	71.5	84.75	20210307072900
0.0	28	33	6	61.5	75.0	88.5	20210307072900
0.0	28	40	2	84.0	87.0	90.0	20210307072900
0.0	28	49	1	98.75	99.0	99.25	20210307072900
0.0	28	50	1	79.75	80.0	80.25	20210307072900
0.0	28	28	5	77.0	84.0	91.0	20210307072900
0.0	28	38	3	57.5	71.0	84.5	20210307072900
0.0	28	22	4	75.75	83.5	91.25	20210307072900
0.0	28	37	2	74.0	80.0	86.0	20210307072900
0.0	28	45	1	91.75	92.0	92.25	20210307072900
0.0	28	30	5	74.0	86.0	98.0	20210307072900
0.0	28	91	1	114.75	115.0	115.25	20210307072900
0.0	28	23	7	80.5	86.0	91.5	20210307072900
0.0	28	32	3	74.5	80.0	85.5	20210307072900
0.0	28	39	3	66.5	78.0	89.5	20210307072900
0.0	28	48	2	86.75	87.0	87.25	20210307072900
0.0	28	52	1	91.75	92.0	92.25	20210307072900
0.0	28	42	1	86.75	87.0	87.25	20210307072900
0.0	28	43	1	60.75	61.0	61.25	20210307072900
0.0	28	68	1	46.75	47.0	47.25	20210307072900
0.0	28	79	1	45.75	46.0	46.25	20210307072900
0.0	28	155	1	41.75	42.0	42.25	20210307072900
0.0	28	242	1	57.75	58.0	58.25	20210307072900
0.0	28	13094	1	90.75	91.0	91.25	20210307072900
0.0	28	31	1	88.75	89.0	89.25	20210307072900
0.0	28	34	2	70.5	75.0	79.5	20210307072900
0.0	28	35	1	80.75	81.0	81.25	20210307072900
0.0	28	678	1	51.75	52.0	52.25	20210307072900
0.0	29	2	18346	30.75	41.5	52.25	20210307073000
0.0	29	3	5161	33.75	47.5	61.25	20210307073000
0.0	29	4	2863	37.5	53.0	68.5	20210307073000
0.0	29	5	1251	39.5	56.0	72.5	20210307073000
0.0	29	6	695	41.5	57.0	72.5	20210307073000
0.0	29	7	484	54.25	59.5	64.75	20210307073000
0.0	29	8	342	55.5	60.0	64.5	20210307073000
0.0	29	9	221	56.75	62.5	68.25	20210307073000
0.0	29	10	161	58.5	65.0	71.5	20210307073000
0.0	29	11	116	60.0	68.0	76.0	20210307073000
0.0	29	12	92	59.75	69.5	79.25	20210307073000
0.0	29	13	68	57.5	68.0	78.5	20210307073000
0.0	29	14	52	58.25	67.5	76.75	20210307073000
0.0	29	15	47	65.5	75.0	84.5	20210307073000
0.0	29	17	30	57.75	71.5	85.25	20210307073000
0.0	29	18	21	59.75	72.5	85.25	20210307073000
0.0	29	20	14	66.75	74.5	82.25	20210307073000
0.0	29	23	19	74.0	82.0	90.0	20210307073000
0.0	29	16	38	72.5	83.0	93.5	20210307073000
0.0	29	19	17	65.75	77.5	89.25	20210307073000
0.0	29	21	14	74.0	83.0	92.0	20210307073000
0.0	29	22	17	75.25	80.5	85.75	20210307073000
0.0	29	28	5	75.75	81.5	87.25	20210307073000
0.0	29	32	2	87.25	90.5	93.75	20210307073000
0.0	29	24	5	70.25	77.5	84.75	20210307073000
0.0	29	31	3	81.5	87.0	92.5	20210307073000
0.0	29	51	1	78.75	79.0	79.25	20210307073000
0.0	29	37	2	87.0	89.0	91.0	20210307073000
0.0	29	40	1	105.75	106.0	106.25	20210307073000
0.0	29	41	1	115.75	116.0	116.25	20210307073000
0.0	29	26	4	43.5	60.0	76.5	20210307073000
0.0	29	60	1	80.75	81.0	81.25	20210307073000
0.0	29	38	2	81.25	87.5	93.75	20210307073000
0.0	29	25	6	78.0	82.0	86.0	20210307073000
0.0	29	27	5	71.25	77.5	83.75	20210307073000
0.0	29	30	2	80.5	83.0	85.5	20210307073000
0.0	29	29	4	85.25	94.5	103.75	20210307073000
0.0	29	63	1	97.75	98.0	98.25	20210307073000
0.0	29	42	1	95.75	96.0	96.25	20210307073000
0.0	29	36	1	86.75	87.0	87.25	20210307073000
0.0	29	52	1	109.75	110.0	110.25	20210307073000
0.0	29	33	2	80.75	82.5	84.25	20210307073000
0.0	29	34	1	80.75	81.0	81.25	20210307073000
0.0	28	2	18294	30.5	41.0	51.5	20210307073100
0.0	28	3	5011	33.0	47.0	61.0	20210307073100
0.0	28	4	2710	36.75	52.5	68.25	20210307073100
0.0	28	5	1119	38.5	56.0	73.5	20210307073100
0.0	28	6	744	42.0	60.0	78.0	20210307073100
0.0	28	7	465	58.5	63.0	67.5	20210307073100
0.0	28	8	293	56.0	61.0	66.0	20210307073100
0.0	28	9	203	57.25	65.5	73.75	20210307073100
0.0	28	10	143	63.0	74.0	85.0	20210307073100
0.0	28	11	102	60.5	68.0	75.5	20210307073100
0.0	28	12	81	59.5	68.0	76.5	20210307073100
0.0	28	13	83	60.5	70.0	79.5	20210307073100
0.0	28	14	55	60.25	68.5	76.75	20210307073100
0.0	28	15	53	56.0	67.0	78.0	20210307073100
0.0	28	16	23	68.75	77.5	86.25	20210307073100
0.0	28	26	5	78.5	83.0	87.5	20210307073100
0.0	28	104	1	115.75	116.0	116.25	20210307073100
0.0	28	17	24	58.0	67.0	76.0	20210307073100
0.0	28	22	6	54.5	62.0	69.5	20210307073100
0.0	28	37	2	78.75	79.0	79.25	20210307073100
0.0	28	18	16	64.75	73.5	82.25	20210307073100
0.0	28	19	11	66.0	74.0	82.0	20210307073100
0.0	28	29	7	74.25	80.5	86.75	20210307073100
0.0	28	39	5	78.25	92.5	106.75	20210307073100
0.0	28	40	2	87.0	90.0	93.0	20210307073100
0.0	28	55	1	45.75	46.0	46.25	20210307073100
0.0	28	20	14	66.75	72.5	78.25	20210307073100
0.0	28	27	5	72.5	78.0	83.5	20210307073100
0.0	28	21	11	76.75	81.5	86.25	20210307073100
0.0	28	221	1	100.75	101.0	101.25	20210307073100
0.0	28	23	7	72.25	80.5	88.75	20210307073100
0.0	28	24	10	76.25	82.5	88.75	20210307073100
0.0	28	30	3	78.0	85.0	92.0	20210307073100
0.0	28	36	1	74.75	75.0	75.25	20210307073100
0.0	28	28	6	80.0	86.0	92.0	20210307073100
0.0	28	31	2	97.75	98.0	98.25	20210307073100
0.0	28	76	1	110.75	111.0	111.25	20210307073100
0.0	28	25	3	78.5	80.0	81.5	20210307073100
0.0	28	34	3	68.5	77.0	85.5	20210307073100
0.0	28	41	2	73.0	79.0	85.0	20210307073100
0.0	28	33	2	82.75	89.5	96.25	20210307073100
0.0	28	47	1	104.75	105.0	105.25	20210307073100
0.0	28	52	1	61.75	62.0	62.25	20210307073100
0.0	28	170	1	83.75	84.0	84.25	20210307073100
0.0	28	585	1	66.75	67.0	67.25	20210307073100
0.0	28	44	2	84.0	85.0	86.0	20210307073100
0.0	29	2	18168	30.75	41.5	52.25	20210307073200
0.0	29	3	5002	34.0	48.0	62.0	20210307073200
0.0	29	4	2785	37.5	53.0	68.5	20210307073200
0.0	29	5	1130	40.25	59.5	78.75	20210307073200
0.0	29	6	703	42.0	58.0	74.0	20210307073200
0.0	29	7	480	54.75	59.5	64.25	20210307073200
