Type,Date, Time, Image_ID, xx_coord, xy_coord, yx_coord, yy_coord, ESD_in_um
ROI, 2021/03/06, 19:20:33.961, 20210306_192033.961.0.png, 1308, 2028, 1504, 2160, 0.0009945352360312002
ROI, 2021/03/06, 19:20:45.447, 20210306_192045.447.0.png, 1232, 1648, 1332, 1764, 0.0014852726408674283
ROI, 2021/03/06, 19:20:48.618, 20210306_192048.618.0.png, 164, 2000, 280, 2080, 0.001660585295050101
ROI, 2021/03/06, 19:20:55.382, 20210306_192055.382.0.png, 1416, 404, 1532, 472, 0.0018011576415107333
ROI, 2021/03/06, 19:20:55.508, 20210306_192055.508.0.png, 1548, 1576, 1644, 1660, 0.0017813937175880001
ROI, 2021/03/06, 19:20:57.916, 20210306_192057.916.0.png, 912, 0, 1024, 112, 0.0014282924918926786
ROI, 2021/03/06, 19:21:01.148, 20210306_192101.148.0.png, 224, 368, 292, 448, 0.002168881009156596
ROI, 2021/03/06, 19:21:01.982, 20210306_192101.982.0.png, 1956, 564, 2040, 648, 0.001904389989190238
ROI, 2021/03/06, 19:21:02.881, 20210306_192102.881.0.png, 2020, 884, 2152, 1000, 0.0012927638988866547
ROI, 2021/03/06, 19:21:04.285, 20210306_192104.285.0.png, 0, 392, 120, 504, 0.0013798616402513687
ROI, 2021/03/06, 19:21:10.886, 20210306_192110.886.0.png, 516, 876, 596, 988, 0.0016899784671278496
ROI, 2021/03/06, 19:21:11.138, 20210306_192111.138.0.png, 572, 20, 668, 104, 0.0017813937175880001
ROI, 2021/03/06, 19:21:13.036, 20210306_192113.036.0.png, 236, 2064, 332, 2192, 0.0014430938456825788
ROI, 2021/03/06, 19:21:16.537, 20210306_192116.537.0.png, 2064, 1408, 2180, 1488, 0.001660585295050101
ROI, 2021/03/06, 19:21:20.425, 20210306_192120.425.0.png, 1752, 876, 1832, 956, 0.00199960948864975
ROI, 2021/03/06, 19:21:20.902, 20210306_192120.902.0.png, 64, 220, 148, 348, 0.0015427322135732101
ROI, 2021/03/06, 19:21:24.227, 20210306_192124.227.0.png, 1364, 760, 1460, 892, 0.001421060584705342
ROI, 2021/03/06, 19:21:26.746, 20210306_192126.746.0.png, 924, 1396, 1036, 1480, 0.0016492501093515186
ROI, 2021/03/06, 19:21:33.428, 20210306_192133.428.0.png, 1716, 2088, 1828, 2188, 0.0015115626932035062
ROI, 2021/03/06, 19:21:35.629, 20210306_192135.629.0.png, 1988, 876, 2104, 960, 0.001620565310576655
ROI, 2021/03/06, 19:21:36.194, 20210306_192136.194.0.png, 2148, 232, 2292, 344, 0.0012596355776695884
ROI, 2021/03/06, 19:21:43.114, 20210306_192143.114.0.png, 600, 420, 680, 504, 0.0019514190458418703
ROI, 2021/03/06, 19:21:43.229, 20210306_192143.229.0.png, 1440, 1088, 1536, 1220, 0.001421060584705342
ROI, 2021/03/06, 19:21:43.566, 20210306_192143.566.0.png, 700, 1628, 780, 1724, 0.0018253853718913976
ROI, 2021/03/06, 19:21:44.411, 20210306_192144.411.0.png, 1772, 1092, 1856, 1176, 0.001904389989190238
ROI, 2021/03/06, 19:21:46.069, 20210306_192146.069.0.png, 188, 1924, 272, 2008, 0.001904389989190238
ROI, 2021/03/06, 19:21:46.751, 20210306_192146.751.0.png, 352, 1576, 436, 1644, 0.0021166111350526106
ROI, 2021/03/06, 19:21:53.958, 20210306_192153.958.0.png, 1628, 764, 1728, 880, 0.0014852726408674283
ROI, 2021/03/06, 19:22:02.476, 20210306_192202.476.0.png, 164, 32, 260, 116, 0.0017813937175880001
ROI, 2021/03/06, 19:22:03.444, 20210306_192203.444.0.png, 2600, 396, 2696, 480, 0.0017813937175880001
ROI, 2021/03/06, 19:22:04.059, 20210306_192204.059.0.png, 2140, 1440, 2208, 1600, 0.0015336304691613515
ROI, 2021/03/06, 19:22:11.190, 20210306_192211.190.0.png, 352, 420, 516, 520, 0.0012491461446023336
ROI, 2021/03/06, 19:22:11.796, 20210306_192211.796.0.png, 316, 632, 396, 712, 0.00199960948864975
ROI, 2021/03/06, 19:22:12.523, 20210306_192212.523.0.png, 1720, 144, 1804, 240, 0.0017813937175880001
ROI, 2021/03/06, 19:22:17.989, 20210306_192217.989.0.png, 900, 704, 1000, 788, 0.00174540225563608
ROI, 2021/03/06, 19:22:21.653, 20210306_192221.653.0.png, 668, 1920, 752, 2000, 0.0019514190458418703
ROI, 2021/03/06, 19:22:22.565, 20210306_192222.565.0.png, 1472, 1116, 1588, 1200, 0.001620565310576655
