Type,Date, Time, Image_ID, xx_coord, xy_coord, yx_coord, yy_coord, ESD_in_um
ROI, 2021/03/07, 02:10:54.235, 20210307_021054.235.0.png, 644, 1404, 744, 1516, 0.0015115626932035062
ROI, 2021/03/07, 02:11:01.505, 20210307_021101.505.0.png, 1424, 2040, 1504, 2140, 0.0017885050980297743
ROI, 2021/03/07, 02:11:31.048, 20210307_021131.048.0.png, 2020, 1424, 2104, 1520, 0.0017813937175880001
ROI, 2021/03/07, 02:11:36.282, 20210307_021136.282.0.png, 2456, 696, 2536, 776, 0.00199960948864975
ROI, 2021/03/07, 02:11:39.848, 20210307_021139.848.0.png, 2620, 44, 2688, 156, 0.001833039012888576
ROI, 2021/03/07, 02:11:44.629, 20210307_021144.629.0.png, 1564, 600, 1644, 684, 0.0019514190458418703
ROI, 2021/03/07, 02:11:55.833, 20210307_021155.833.0.png, 1060, 828, 1144, 908, 0.0019514190458418703
ROI, 2021/03/07, 02:12:01.126, 20210307_021201.126.0.png, 516, 84, 644, 180, 0.0014430938456825788
ROI, 2021/03/07, 02:12:01.244, 20210307_021201.244.0.png, 100, 368, 180, 464, 0.0018253853718913976
ROI, 2021/03/07, 02:12:09.976, 20210307_021209.976.0.png, 2464, 744, 2544, 824, 0.00199960948864975
ROI, 2021/03/07, 02:12:22.508, 20210307_021222.508.0.png, 844, 1300, 1020, 1444, 0.0010048415759220674
ROI, 2021/03/07, 02:12:26.626, 20210307_021226.626.0.png, 1708, 1032, 1788, 1132, 0.0017885050980297743
ROI, 2021/03/07, 02:12:28.429, 20210307_021228.429.0.png, 948, 896, 1032, 976, 0.0019514190458418703
ROI, 2021/03/07, 02:12:29.343, 20210307_021229.343.0.png, 2428, 1276, 2496, 1388, 0.001833039012888576
ROI, 2021/03/07, 02:12:31.150, 20210307_021231.150.0.png, 1388, 1852, 1472, 1952, 0.00174540225563608
ROI, 2021/03/07, 02:12:43.057, 20210307_021243.057.0.png, 2588, 1268, 2668, 1348, 0.00199960948864975
ROI, 2021/03/07, 02:12:48.775, 20210307_021248.775.0.png, 1404, 1976, 1504, 2072, 0.0016326743106731593
ROI, 2021/03/07, 02:12:59.620, 20210307_021259.620.0.png, 136, 2032, 220, 2128, 0.0017813937175880001
ROI, 2021/03/07, 02:13:02.142, 20210307_021302.142.0.png, 816, 328, 932, 444, 0.0013790410266550002
ROI, 2021/03/07, 02:13:04.503, 20210307_021304.503.0.png, 32, 1900, 196, 1984, 0.0013629301813577253
ROI, 2021/03/07, 02:13:13.683, 20210307_021313.683.0.png, 0, 1608, 56, 1752, 0.0017813937175880001
ROI, 2021/03/07, 02:13:22.703, 20210307_021322.703.0.png, 2056, 444, 2152, 524, 0.0018253853718913976
ROI, 2021/03/07, 02:13:24.695, 20210307_021324.695.0.png, 572, 1284, 684, 1396, 0.0014282924918926786
ROI, 2021/03/07, 02:13:24.814, 20210307_021324.814.0.png, 1976, 1548, 2072, 1628, 0.0018253853718913976
ROI, 2021/03/07, 02:13:26.901, 20210307_021326.901.0.png, 516, 112, 600, 180, 0.0021166111350526106
ROI, 2021/03/07, 02:13:29.679, 20210307_021329.679.0.png, 2380, 240, 2464, 324, 0.001904389989190238
ROI, 2021/03/07, 02:13:31.115, 20210307_021331.115.0.png, 1660, 476, 1740, 560, 0.0019514190458418703
ROI, 2021/03/07, 02:13:33.266, 20210307_021333.266.0.png, 1088, 1620, 1156, 1704, 0.0021166111350526106
ROI, 2021/03/07, 02:13:35.729, 20210307_021335.729.0.png, 716, 1012, 796, 1108, 0.0018253853718913976
ROI, 2021/03/07, 02:13:44.354, 20210307_021344.354.0.png, 80, 236, 148, 320, 0.0021166111350526106
ROI, 2021/03/07, 02:14:05.422, 20210307_021405.422.0.png, 2320, 1364, 2404, 1448, 0.001904389989190238
ROI, 2021/03/07, 02:14:11.512, 20210307_021411.512.0.png, 280, 400, 348, 500, 0.001939906148632997
ROI, 2021/03/07, 02:14:12.603, 20210307_021412.603.0.png, 2464, 1044, 2564, 1176, 0.0013923493304436802
ROI, 2021/03/07, 02:14:15.855, 20210307_021415.855.0.png, 1972, 1204, 2056, 1288, 0.001904389989190238
ROI, 2021/03/07, 02:14:18.690, 20210307_021418.690.0.png, 632, 1760, 728, 1824, 0.002040842888341449
ROI, 2021/03/07, 02:14:23.311, 20210307_021423.311.0.png, 2480, 1568, 2656, 1748, 0.0008987576281519036
ROI, 2021/03/07, 02:14:23.779, 20210307_021423.779.0.png, 1856, 1688, 2052, 1768, 0.0012775036414498387
ROI, 2021/03/07, 02:14:27.936, 20210307_021427.936.0.png, 544, 1136, 644, 1232, 0.0016326743106731593
ROI, 2021/03/07, 02:14:42.056, 20210307_021442.056.0.png, 1676, 1164, 1776, 1248, 0.00174540225563608
ROI, 2021/03/07, 02:14:42.404, 20210307_021442.404.0.png, 312, 1920, 424, 2004, 0.0016492501093515186
ROI, 2021/03/07, 02:14:52.049, 20210307_021452.049.0.png, 1008, 176, 1092, 256, 0.0019514190458418703
ROI, 2021/03/07, 02:14:58.132, 20210307_021458.132.0.png, 1576, 1000, 1704, 1192, 0.0010204214441707246
ROI, 2021/03/07, 02:15:01.193, 20210307_021501.193.0.png, 2084, 0, 2536, 92, 0.0007844622420311054
ROI, 2021/03/07, 02:15:03.172, 20210307_021503.172.0.png, 2144, 1152, 2240, 1248, 0.001666341240541458
ROI, 2021/03/07, 02:15:06.185, 20210307_021506.185.0.png, 1892, 648, 2024, 744, 0.001421060584705342
ROI, 2021/03/07, 02:15:08.415, 20210307_021508.415.0.png, 248, 1268, 364, 1364, 0.0015159000412671869
ROI, 2021/03/07, 02:15:50.703, 20210307_021550.703.0.png, 252, 324, 352, 456, 0.0013923493304436802
ROI, 2021/03/07, 02:15:54.146, 20210307_021554.146.0.png, 2212, 664, 2324, 876, 0.0010381455199111641
ROI, 2021/03/07, 02:15:57.235, 20210307_021557.235.0.png, 1700, 992, 1780, 1076, 0.0019514190458418703
ROI, 2021/03/07, 02:15:58.091, 20210307_021558.091.0.png, 1252, 1748, 1380, 1844, 0.0014430938456825788
ROI, 2021/03/07, 02:16:00.579, 20210307_021600.579.0.png, 880, 996, 976, 1092, 0.001666341240541458
ROI, 2021/03/07, 02:16:05.864, 20210307_021605.864.0.png, 2052, 1656, 2180, 1756, 0.001413937429149203
ROI, 2021/03/07, 02:16:10.000, 20210307_021610.000.0.png, 1664, 1456, 1748, 1556, 0.00174540225563608
ROI, 2021/03/07, 02:16:10.646, 20210307_021610.646.0.png, 764, 864, 848, 960, 0.0017813937175880001
ROI, 2021/03/07, 02:16:11.899, 20210307_021611.899.0.png, 1472, 1144, 1568, 1240, 0.001666341240541458
ROI, 2021/03/07, 02:16:25.038, 20210307_021625.038.0.png, 2560, 1744, 2628, 1892, 0.0015945930315135032
ROI, 2021/03/07, 02:16:34.021, 20210307_021634.021.0.png, 152, 1872, 236, 1956, 0.001904389989190238
ROI, 2021/03/07, 02:16:48.960, 20210307_021648.960.0.png, 816, 816, 900, 916, 0.00174540225563608
